hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_day,reservation_status_month,reservation_status_year,country_name
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,0,110,2016,January,1,2,2,5,2,0,0,BB,FRA,Online TA,Travel Agents/Tour Operators,0,0,0,D,E,0,No Deposit,240,NULL,0,Transient,46.93,0,3,Check-Out,9,1,2016,France
Resort Hotel,1,103,2016,January,2,3,2,3,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,36.45,0,1,Canceled,12,12,2015,Portugal
Resort Hotel,1,22,2016,January,2,3,2,4,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,96,0,2,Canceled,26,12,2015,Portugal
Resort Hotel,1,0,2016,January,2,4,1,1,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,306,NULL,0,Transient,32.3,0,0,Canceled,4,1,2016,Portugal
Resort Hotel,1,3,2016,January,2,4,1,2,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,52.8,0,1,Canceled,4,1,2016,Portugal
Resort Hotel,1,5,2016,January,2,4,1,3,2,0,0,HB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,NULL,174,0,Transient-Party,68,0,0,Canceled,30,12,2015,Portugal
Resort Hotel,1,5,2016,January,2,4,1,3,1,0,0,HB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,NULL,174,0,Transient-Party,61,0,0,Canceled,30,12,2015,Portugal
Resort Hotel,1,5,2016,January,2,4,1,3,2,0,0,HB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,NULL,174,0,Transient-Party,68,0,0,Canceled,30,12,2015,Portugal
Resort Hotel,1,5,2016,January,2,4,1,3,2,0,0,HB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,NULL,174,0,Transient-Party,68,0,0,Canceled,30,12,2015,Portugal
Resort Hotel,1,5,2016,January,2,4,1,3,2,0,0,HB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,NULL,174,0,Transient-Party,68,0,0,Canceled,30,12,2015,Portugal
Resort Hotel,1,20,2016,January,2,4,1,4,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,E,E,0,No Deposit,242,NULL,0,Transient,54.4,0,1,Canceled,26,12,2015,Portugal
Resort Hotel,1,62,2016,January,2,4,1,4,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,61.2,0,1,Canceled,17,11,2015,Portugal
Resort Hotel,1,189,2016,January,2,5,0,5,1,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,25.11,0,2,Canceled,26,12,2015,Portugal
Resort Hotel,1,132,2016,January,2,5,0,3,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,29.16,0,1,Canceled,14,9,2015,Portugal
Resort Hotel,1,13,2016,January,2,5,8,20,2,0,0,Undefined,PRT,Offline TA/TO,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,332,NULL,0,Transient,65,0,0,Canceled,29,12,2015,Portugal
Resort Hotel,0,86,2016,January,2,6,0,1,2,0,0,HB,GBR,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,79.5,1,1,Check-Out,7,1,2016,UK
Resort Hotel,0,187,2016,January,2,6,0,4,2,0,0,BB,DEU,Online TA,Travel Agents/Tour Operators,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,41.4,0,1,Check-Out,10,1,2016,Germany
Resort Hotel,0,85,2016,January,2,6,0,4,2,0,0,BB,BRA,Online TA,Travel Agents/Tour Operators,0,0,0,D,D,2,No Deposit,240,NULL,0,Transient,47.4,1,1,Check-Out,10,1,2016,Brazil
Resort Hotel,1,93,2016,January,2,6,2,6,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,250,NULL,0,Transient,47.6,0,1,Canceled,12,11,2015,Portugal
Resort Hotel,1,93,2016,January,2,6,2,6,2,0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,250,NULL,0,Transient,73.1,0,1,Canceled,12,11,2015,Portugal
Resort Hotel,1,0,2016,January,2,7,0,1,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,48,0,2,Canceled,7,1,2016,Portugal
Resort Hotel,1,143,2016,January,2,7,1,3,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,38.4,0,2,Canceled,5,9,2015,Portugal
Resort Hotel,1,223,2016,January,2,7,2,5,2,0,0,BB,PRT,Offline TA/TO,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,171,NULL,0,Transient,107,0,0,Canceled,26,6,2015,Portugal
Resort Hotel,1,117,2016,January,2,7,2,5,1,0,0,HB,PRT,Offline TA/TO,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,156,NULL,0,Transient,33.08,0,2,Canceled,26,11,2015,Portugal
Resort Hotel,1,13,2016,January,2,8,0,2,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,48,0,0,Canceled,28,12,2015,Portugal
Resort Hotel,1,24,2016,January,2,8,0,2,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,1,No Deposit,240,NULL,0,Transient,48,0,1,Canceled,28,12,2015,Portugal
Resort Hotel,1,2,2016,January,2,8,0,2,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient,48,0,0,No-Show,8,1,2016,Portugal
Resort Hotel,0,59,2016,January,2,8,0,2,2,0,0,BB,PRT,Offline TA/TO,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,8,NULL,0,Transient,29,0,0,Check-Out,10,1,2016,Portugal
Resort Hotel,1,6,2016,January,2,8,0,2,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,96,0,0,Canceled,4,1,2016,Portugal
Resort Hotel,1,11,2016,January,2,8,1,2,2,0,0,BB,PRT,Offline TA/TO,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,314,NULL,0,Transient,29,0,1,No-Show,8,1,2016,Portugal
Resort Hotel,1,19,2016,January,2,8,1,2,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,52.8,0,0,Canceled,6,1,2016,Portugal
Resort Hotel,1,19,2016,January,2,8,1,2,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,52.8,0,0,Canceled,6,1,2016,Portugal
Resort Hotel,0,74,2016,January,2,8,2,2,2,0,0,BB,IRL,Offline TA/TO,Travel Agents/Tour Operators,0,0,0,D,D,0,No Deposit,115,NULL,0,Transient,33.3,0,0,Check-Out,12,1,2016,Ireland
Resort Hotel,0,169,2016,January,2,8,2,3,2,0,0,BB,GBR,Online TA,Travel Agents/Tour Operators,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,50.4,0,1,Check-Out,13,1,2016,UK
Resort Hotel,1,200,2016,January,2,8,8,20,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,50.4,0,0,Canceled,21,9,2015,Portugal
Resort Hotel,1,1,2016,January,2,9,0,1,1,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,39,0,1,Canceled,8,1,2016,Portugal
Resort Hotel,1,28,2016,January,2,9,0,1,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,56,0,1,Canceled,5,1,2016,Portugal
Resort Hotel,1,1,2016,January,2,9,0,1,1,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,39,0,1,Canceled,8,1,2016,Portugal
Resort Hotel,1,28,2016,January,2,9,0,1,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,56,0,1,Canceled,5,1,2016,Portugal
Resort Hotel,1,110,2016,January,2,9,2,1,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,36.45,0,0,Canceled,5,10,2015,Portugal
Resort Hotel,1,15,2016,January,2,9,2,5,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,242,NULL,0,Transient,48,0,0,Canceled,30,12,2015,Portugal
Resort Hotel,1,103,2016,January,2,9,2,6,2,2,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,77.4,0,1,Canceled,5,10,2015,Portugal
Resort Hotel,0,87,2016,January,2,9,4,10,2,0,0,BB,DEU,Offline TA/TO,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,171,NULL,0,Transient,26.1,0,0,Check-Out,23,1,2016,Germany
Resort Hotel,1,177,2016,January,3,10,2,4,1,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,25.11,0,1,Canceled,4,9,2015,Portugal
Resort Hotel,1,6,2016,January,3,10,2,3,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,48,0,1,Canceled,6,1,2016,Portugal
Resort Hotel,1,8,2016,January,3,12,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,NULL,NULL,0,Transient,43,0,0,No-Show,12,1,2016,Portugal
Resort Hotel,1,99,2016,January,3,12,2,10,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,D,D,0,No Deposit,242,NULL,0,Transient,41.4,0,0,Canceled,28,10,2015,Portugal
Resort Hotel,1,99,2016,January,3,12,2,10,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,D,D,0,No Deposit,242,NULL,0,Transient,41.4,0,1,No-Show,12,1,2016,Portugal
Resort Hotel,0,172,2016,January,3,12,8,20,2,0,0,BB,GBR,Offline TA/TO,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,314,NULL,0,Contract,25.92,0,1,Check-Out,9,2,2016,UK
Resort Hotel,1,284,2016,January,3,12,8,20,2,0,0,BB,PRT,Offline TA/TO,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,171,NULL,0,Transient,26.1,0,0,Canceled,12,9,2015,Portugal
Resort Hotel,1,122,2016,January,3,12,12,30,2,0,0,BB,PRT,Offline TA/TO,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,8,NULL,0,Transient,22.11,0,0,Canceled,4,12,2015,Portugal
Resort Hotel,0,0,2016,January,3,13,0,0,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,D,I,0,No Deposit,242,NULL,0,Transient,0,0,1,Check-Out,13,1,2016,Portugal
Resort Hotel,1,15,2016,January,3,13,0,4,1,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,39,0,2,Canceled,8,1,2016,Portugal
Resort Hotel,1,15,2016,January,3,13,0,4,1,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,39,0,2,Canceled,8,1,2016,Portugal
Resort Hotel,1,15,2016,January,3,13,0,4,1,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,39,0,2,Canceled,8,1,2016,Portugal
Resort Hotel,0,23,2016,January,3,14,0,1,2,0,0,BB,USA,Direct,Direct,0,0,0,E,E,0,No Deposit,NULL,NULL,0,Transient,48,0,0,Check-Out,15,1,2016,US
Resort Hotel,1,0,2016,January,3,15,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,NULL,NULL,0,Transient-Party,44,0,0,Canceled,15,1,2016,Portugal
Resort Hotel,1,34,2016,January,3,15,0,2,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,44.8,0,1,Canceled,26,12,2015,Portugal
Resort Hotel,1,1,2016,January,3,16,0,1,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,59,0,1,No-Show,16,1,2016,Portugal
Resort Hotel,1,7,2016,January,3,16,2,5,2,0,0,HB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,D,D,0,No Deposit,241,NULL,0,Transient,57.6,0,0,Canceled,15,1,2016,Portugal
Resort Hotel,1,172,2016,January,4,17,3,5,2,0,0,HB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,59.4,0,1,Canceled,21,9,2015,Portugal
Resort Hotel,1,172,2016,January,4,17,3,5,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,29.16,0,1,Canceled,17,1,2016,Portugal
Resort Hotel,1,12,2016,January,4,18,1,0,1,0,0,BB,PRT,Complementary,Travel Agents/Tour Operators,0,0,0,F,F,0,No Deposit,15,NULL,0,Transient,0,0,0,Canceled,7,1,2016,Portugal
Resort Hotel,1,31,2016,January,4,18,1,2,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,44.8,0,1,Canceled,26,12,2015,Portugal
Resort Hotel,1,3,2016,January,4,19,0,1,1,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,39,0,0,Canceled,19,1,2016,Portugal
Resort Hotel,1,3,2016,January,4,21,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,E,0,No Deposit,NULL,47,0,Transient,30,0,0,Canceled,18,1,2016,Portugal
Resort Hotel,1,34,2016,January,4,21,0,3,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,44.8,0,1,Canceled,26,12,2015,Portugal
Resort Hotel,1,26,2016,January,4,21,0,3,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,44.8,0,1,Canceled,29,12,2015,Portugal
Resort Hotel,1,3,2016,January,4,22,0,1,1,0,0,BB,PRT,Offline TA/TO,Travel Agents/Tour Operators,0,0,0,A,D,0,No Deposit,330,NULL,0,Transient-Party,38,0,2,Canceled,21,1,2016,Portugal
Resort Hotel,0,101,2016,January,4,22,0,2,2,0,0,HB,GBR,Online TA,Travel Agents/Tour Operators,0,0,0,E,E,0,No Deposit,241,NULL,0,Transient,66.98,1,0,Check-Out,24,1,2016,UK
Resort Hotel,1,3,2016,January,4,22,0,1,2,0,0,BB,PRT,Offline TA/TO,Travel Agents/Tour Operators,0,0,0,A,D,0,No Deposit,330,NULL,0,Transient-Party,43,0,2,Canceled,21,1,2016,Portugal
Resort Hotel,1,3,2016,January,4,22,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,NULL,NULL,0,Transient,52.8,0,1,Canceled,22,1,2016,Portugal
Resort Hotel,1,13,2016,January,4,22,2,4,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,44.8,0,2,No-Show,22,1,2016,Portugal
Resort Hotel,1,11,2016,January,4,23,0,1,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient,48,0,0,No-Show,23,1,2016,Portugal
Resort Hotel,1,1,2016,January,4,23,0,1,2,0,0,HB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,E,F,0,No Deposit,240,NULL,0,Transient,96,0,1,No-Show,23,1,2016,Portugal
Resort Hotel,1,173,2016,January,5,25,1,0,2,0,0,HB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,59.4,0,1,Canceled,10,8,2015,Portugal
Resort Hotel,1,14,2016,January,5,25,1,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,NULL,NULL,0,Transient,61,0,2,Canceled,18,1,2016,Portugal
Resort Hotel,0,160,2016,January,5,25,1,3,2,0,0,BB,GBR,Online TA,Travel Agents/Tour Operators,0,0,0,E,E,0,No Deposit,241,NULL,0,Transient,36.86,0,1,Check-Out,29,1,2016,UK
Resort Hotel,0,154,2016,January,5,26,0,1,2,0,0,BB,KOR,Online TA,Travel Agents/Tour Operators,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient,35.16,1,2,Check-Out,27,1,2016,South Korea
Resort Hotel,1,4,2016,January,5,26,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,38,0,0,Canceled,25,1,2016,Portugal
Resort Hotel,0,214,2016,January,5,26,12,30,2,0,0,BB,GBR,Offline TA/TO,Travel Agents/Tour Operators,0,0,0,D,D,0,No Deposit,8,NULL,0,Transient,31.45,0,0,Check-Out,8,3,2016,UK
Resort Hotel,0,154,2016,January,5,26,0,1,2,0,0,BB,KOR,Online TA,Travel Agents/Tour Operators,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient,29.16,0,2,Check-Out,27,1,2016,South Korea
Resort Hotel,1,5,2016,January,5,27,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,NULL,373,0,Transient,39,0,0,Canceled,26,1,2016,Portugal
Resort Hotel,1,16,2016,January,5,27,0,2,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,48,0,1,Canceled,16,1,2016,Portugal
Resort Hotel,1,2,2016,January,5,28,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,126,NULL,0,Transient,30,0,0,Canceled,26,1,2016,Portugal
Resort Hotel,1,80,2016,January,5,28,0,2,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,48,0,1,Canceled,26,12,2015,Portugal
Resort Hotel,1,33,2016,January,5,28,0,3,1,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,39,0,0,Canceled,20,1,2016,Portugal
Resort Hotel,1,33,2016,January,5,28,0,3,1,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,39,0,0,Canceled,20,1,2016,Portugal
Resort Hotel,1,185,2016,January,5,28,2,3,2,0,1,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,32.4,0,3,Canceled,28,7,2015,Portugal
Resort Hotel,0,1,2016,January,5,29,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,NULL,NULL,0,Transient,75,1,0,Check-Out,30,1,2016,Portugal
Resort Hotel,1,48,2016,January,5,29,0,2,2,0,0,HB,PRT,Offline TA/TO,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,171,NULL,0,Transient,55,0,0,Canceled,7,1,2016,Portugal
Resort Hotel,1,157,2016,January,5,29,2,5,2,0,0,HB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,F,F,0,No Deposit,242,NULL,0,Transient,88.2,0,1,Canceled,5,1,2016,Portugal
Resort Hotel,1,15,2016,January,5,30,0,1,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,48,0,1,Canceled,18,1,2016,Portugal
